"id" "Label" "mouseID" "treatmentID" "Exercise" "Weight" "metabolite" "area"
"160711-86" "plasmaD21" "15-02-M24" "EX_ER" "EX" "ER" "Pyruvate" 76751632
"160711-87" "plasmaD35" "15-02-M23" "EX_ER" "EX" "ER" "Pyruvate" 137761856
"160711-88" "tumor" "15-02-M19" "EX_AL" "EX" "AL" "Pyruvate" 7902544
"160711-89" "plasmaD7" "15-02-M21" "EX_ER" "EX" "ER" "Pyruvate" 32269286
"160711-90" "tumor" "15-02-M1" "SED_AL" "SED" "AL" "Pyruvate" 7979586
"160711-91" "plasmaD7" "15-02-M20" "EX_AL" "EX" "AL" "Pyruvate" 12337605
"160711-92" "plasmaD35" "15-02-M13" "SED_ER" "SED" "ER" "Pyruvate" 23302216
"160711-93" "plasmaD7" "15-02-M6" "SED_AL" "SED" "AL" "Pyruvate" 16282999
"160711-94" "plasmaD21" "15-02-M1" "SED_AL" "SED" "AL" "Pyruvate" 42922628
"160711-95" "plasmaD21" "15-02-M2" "SED_AL" "SED" "AL" "Pyruvate" 16694199
"160711-96" "plasmaD21" "15-02-M23" "EX_ER" "EX" "ER" "Pyruvate" 8876729
"160711-10" "plasmaD35" "15-02-M22" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 44723732
"160711-101" "tumor" "15-02-M18" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 16129055
"160711-102" "plasmaD7" "15-02-M1" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 7892588
"160711-11" "plasmaD35" "15-02-M10" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 30816538
"160711-12" "plasmaD35" "15-02-M11" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 35046832
"160711-13" "plasmaD35" "15-02-M20" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 38036180
"160711-14" "plasmaD35" "15-02-M3" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 31965862
"160711-15" "plasmaD7" "15-02-M2" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 12057917
"160711-16" "plasmaD35" "15-02-M24" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 24899938
"160711-17" "tumor" "15-02-M16" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 86223344
"160711-18" "plasmaD7" "15-02-M26" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 41171168
"160711-19" "plasmaD21" "15-02-M12" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 46745984
"160711-20" "tumor" "15-02-M23" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 62715984
"160711-21" "plasmaD35" "15-02-M21" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 39723280
"160711-22" "plasmaD35" "15-02-M27" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 30548542
"160711-23" "plasmaD21" "15-02-M18" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 19019616
"160711-24" "plasmaD7" "15-02-M24" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 14706269
"160711-25" "plasmaD7" "15-02-M15" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 56340056
"160711-26" "tumor" "15-02-M26" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 127617024
"160711-27" "plasmaD35" "15-02-M26" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 57394052
"160711-28" "plasmaD35" "15-02-M5" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 39529492
"160711-29" "plasmaD7" "15-02-M22" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 4321109
"160711-32" "tumor" "15-02-M10" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 173449888
"160711-33" "tumor" "15-02-M8" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 141826752
"160711-34" "tumor" "15-02-M2" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 87769152
"160711-35" "plasmaD21" "15-02-M11" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 21984040
"160711-36" "tumor" "15-02-M12" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 73058344
"160711-37" "plasmaD21" "15-02-M13" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 10145166
"160711-38" "plasmaD35" "15-02-M15" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 36044928
"160711-39" "plasmaD21" "15-02-M4" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 45231512
"160711-40" "plasmaD7" "15-02-M4" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 32685030
"160711-41" "plasmaD35" "15-02-M7" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 27997108
"160711-42" "plasmaD35" "15-02-M25" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 41649388
"160711-43" "plasmaD21" "15-02-M25" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 20207000
"160711-44" "plasmaD7" "15-02-M5" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 27851350
"160711-45" "tumor" "15-02-M24" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 95074808
"160711-46" "tumor" "15-02-M7" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 111972344
"160711-47" "plasmaD35" "15-02-M8" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 27657308
"160711-48" "tumor" "15-02-M6" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 119786176
"160711-49" "plasmaD21" "15-02-M16" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 34754732
"160711-50" "tumor" "15-02-M21" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 98116688
"160711-51" "plasmaD7" "15-02-M7" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 26786352
"160711-52" "plasmaD21" "15-02-M26" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 13791124
"160711-53" "plasmaD7" "15-02-M27" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 17801496
"160711-54" "plasmaD7" "15-02-M23" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 11889744
"160711-55" "tumor" "15-02-M3" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 92137016
