"","LIPNEG16JULY_03-D21_M26","LIPNEG16JULY_09-D21_M3","LIPNEG16JULY_16-D21_M10","LIPNEG16JULY_17-D21_M6","LIPNEG16JULY_21-D21_M5","LIPNEG16JULY_22-D21_M7","LIPNEG16JULY_23-D21_M21","LIPNEG16JULY_33-D21_M15","LIPNEG16JULY_35-D21_M24","LIPNEG16JULY_43-D21_M1","LIPNEG16JULY_44-D21_M2","LIPNEG16JULY_45-D21_M23","LIPNEG16JULY_47-D21_M8","LIPNEG16JULY_49-D21_M19","LIPNEG16JULY_50-D21_M22","LIPNEG16JULY_52-D21_M27","LIPNEG16JULY_54-D21_M20","LIPNEG16JULY_64-D21_M12","LIPNEG16JULY_68-D21_M18","LIPNEG16JULY_78-D21_M11","LIPNEG16JULY_80-D21_M13","LIPNEG16JULY_83-D21_M4","LIPNEG16JULY_87-D21_M25","LIPNEG16JULY_93-D21_M16","LIPNEG16JULY_07-D35_M4","LIPNEG16JULY_10-D35_M6","LIPNEG16JULY_13-D35_M2","LIPNEG16JULY_15-D35_M16","LIPNEG16JULY_18-D35_M12","LIPNEG16JULY_19-D35_M18","LIPNEG16JULY_24-D35_M1","LIPNEG16JULY_34-D35_M19","LIPNEG16JULY_36-D35_M23","LIPNEG16JULY_41-D35_M13","LIPNEG16JULY_55-D35_M22","LIPNEG16JULY_56-D35_M10","LIPNEG16JULY_57-D35_M11","LIPNEG16JULY_58-D35_M20","LIPNEG16JULY_59-D35_M3","LIPNEG16JULY_61-D35_M24","LIPNEG16JULY_66-D35_M21","LIPNEG16JULY_67-D35_M27","LIPNEG16JULY_72-D35_M26","LIPNEG16JULY_73-D35_M5","LIPNEG16JULY_82-D35_M15","LIPNEG16JULY_85-D35_M7","LIPNEG16JULY_86-D35_M25","LIPNEG16JULY_91-D35_M8","LIPNEG16JULY_02-D7_M7","LIPNEG16JULY_04-D7_M27","LIPNEG16JULY_05-D7_M23","LIPNEG16JULY_08-D7_M8","LIPNEG16JULY_11-D7_M18","LIPNEG16JULY_12-D7_M25","LIPNEG16JULY_14-D7_M16","LIPNEG16JULY_20-D7_M10","LIPNEG16JULY_25-D7_M19","LIPNEG16JULY_27-D7_M12","LIPNEG16JULY_38-D7_M21","LIPNEG16JULY_40-D7_M20","LIPNEG16JULY_42-D7_M6","LIPNEG16JULY_46-D7_M13","LIPNEG16JULY_51-D7_M11","LIPNEG16JULY_53-D7_M3","LIPNEG16JULY_60-D7_M2","LIPNEG16JULY_63-D7_M26","LIPNEG16JULY_69-D7_M24","LIPNEG16JULY_70-D7_M15","LIPNEG16JULY_74-D7_M22","LIPNEG16JULY_81-M1_D7","LIPNEG16JULY_84-D7_M4","LIPNEG16JULY_88-D7_M5","LIPNEG16JULY_01-M21","LIPNEG16JULY_06-M3","LIPNEG16JULY_26-M11","LIPNEG16JULY_28-M20","LIPNEG16JULY_29-M4","LIPNEG16JULY_30-M22","LIPNEG16JULY_31-M5","LIPNEG16JULY_32-M13","LIPNEG16JULY_37-M19","LIPNEG16JULY_39-M1","LIPNEG16JULY_48-M27","LIPNEG16JULY_62-M16","LIPNEG16JULY_65-M23","LIPNEG16JULY_71-M26","LIPNEG16JULY_75-M10","LIPNEG16JULY_76-M8","LIPNEG16JULY_77-M2","LIPNEG16JULY_79-M12","LIPNEG16JULY_89-M24","LIPNEG16JULY_90-M7","LIPNEG16JULY_92-M6","LIPNEG16JULY_94-M18"
"w/o MS2:DGDG 39:0; DGDG 12:0-27:0; [M+HCOO]-","-2.23478917","-2.97732378","-3.66326792"," 0.82802906","-0.15448087"," 0.11145140","-1.33521563","-1.13688824","-1.59000541"," 2.25910662","-1.62865375","-1.59000541"," 1.46078535"," 0.06663274"," 0.70943899","-1.44697611"," 1.95238764","-0.96263744"," 0.51698232"," 1.12034296"," 2.17754328","-0.16107777"," 1.33094067"," 1.02464099","-1.42609615","-1.91839968","-0.17133113","-2.76078257","-2.47766479","-0.42461918","-0.75069833"," 0.27271317","-0.38261609"," 1.04427050","-2.16307934","-0.56776458","-0.25831674","-1.38414521"," 0.22812180","-0.28630105","-0.02984155"," 0.60360081","-0.11766494","-0.02433893","-0.15448087"," 0.40136545","-1.71383489","-0.96997223"," 0.50053985","-2.66344195"," 1.23709207","-0.34518932"," 0.13757510","-0.24394170"," 0.04043055","-0.75604029","-0.08414181","-2.08863192","-2.11147249"," 1.96884196"," 0.46252509"," 0.86279804"," 0.19951120","-0.09600327"," 0.39673477","-0.89505356","-1.06886505"," 1.11511258","-2.81618926","-0.35149168"," 1.17681313"," 0.99764387"," 0.88583653"," 1.47053985","-0.11139461"," 1.93011343"," 1.19879203","-0.99573036"," 1.29079379"," 0.83275811"," 1.62469807"," 1.99868282"," 1.38372938"," 1.53794875","-0.38934779"," 1.09497606"," 0.63712008","-0.10272046"," 1.80524704"," 3.02608660"," 0.65529902"," 1.12034296"," 1.56693219"," 2.71905659"
"w/o MS2:DGGA 29:5; DGGA 13:1-16:4; [M-H]-"," 0.53381075"," 1.30453879","-0.14566757"," 0.09184822"," 1.83204446"," 0.70987436"," 0.36141630"," 1.61908196"," 0.36141630","-2.25810477","-0.26285840","-2.09709038","-0.72400660"," 1.53021352"," 0.69360080","-0.88763723","-1.47983545","-2.09709038"," 1.64284030"," 1.29931674"," 1.37874406"," 1.44471061"," 1.16487159","-1.31907406"," 1.01625111"," 1.59783056","-2.60424934"," 1.61908196"," 0.87377125"," 1.46181894"," 1.35756777"," 0.09998474"," 1.00453249"," 1.38054018","-0.90296555","-1.61714120"," 1.19678259","-2.31195507"," 0.98477854"," 0.88555979"," 1.44741259"," 1.39244990","-2.73161404","-1.65157238"," 1.95443743"," 1.10130874"," 1.58827937","-1.81038309","-0.87758935","-2.95418282"," 1.24686616"," 0.48214842"," 0.91078340"," 0.39085182"," 1.51616384"," 0.06251338"," 1.28289536"," 1.65480255"," 1.19678259"," 2.14578324"," 1.37312717","-1.12571945"," 1.71580416","-0.86456526","-3.68279668"," 1.28829221","-0.11279055","-0.68700456"," 1.53238442"," 1.29375824","-1.99486683"," 1.21247738","-1.47557448","-0.21479023"," 1.03353748","-0.20355367"," 1.66868421"," 0.69360080"," 0.23904974"," 0.24866234"," 0.58678001"," 1.11323573","-2.13621769"," 0.23202895","-4.21394621","-3.60127790"," 0.36141630"," 0.11561213","-3.75159563","-4.46146125"," 1.19678259"," 0.15949094","-3.95264412","-2.67321011"
"w/o MS2:DGGA 34:1; DGGA 12:0-22:1; [M-H]-","-1.035405662"," 0.686793611"," 2.110077769"," 2.519320830"," 1.737301006"," 2.513601228"," 2.398681447"," 2.298785446","-1.784807154","-0.472877383"," 1.385619471"," 1.338023697","-1.396449697","-0.971697025","-1.066789653","-0.332632078","-2.120002406","-2.753039998"," 0.279693430","-1.585116066"," 0.903074580","-1.169483630","-0.713560199","-1.636333110","-0.517506198","-1.419299930","-0.557204424"," 2.428779506"," 1.930543910"," 2.454872619"," 2.340351794"," 2.499526192","-2.314396168"," 1.150275095","-2.449368027","-1.684514358","-1.121850846","-0.380828500","-0.376362015"," 0.069000448","-1.315212107"," 0.003060765","-0.930256921","-2.113875283","-0.670356617"," 2.428779506","-0.573199110","-2.496608510","-1.668529023","-0.961575724","-0.425292412","-2.399438009","-2.380562316"," 0.785201247","-2.965173752"," 2.201525063"," 2.180694901"," 2.206654735"," 2.193826386","-2.170280296"," 0.838487038","-1.697434124","-0.475887939","-1.672626744","-0.139490154","-1.573247500","-0.826050682","-0.286364778","-2.599315578","-1.672626744","-2.544020160","-1.794905081","-0.197854336","-1.106013381"," 3.513593172"," 3.662312662"," 2.848134767"," 3.478073330"," 3.513593172"," 3.101669936"," 2.834184444"," 2.983294237"," 3.714981186","-0.267344944","-2.063120859","-0.224808602","-0.444546045","-0.167883302","-0.689995480","-0.624933777","-0.957746523","-0.262685697","-0.332632078","-1.980969515"
"w/o MS2:DGGA 38:10; DGGA 18:5-20:5; [M-H]-","-1.02852802","-1.29258203","-0.29432568"," 0.62021167","-2.10799576","-1.61787267","-1.52795574","-1.31231457","-1.37476054","-0.31692816","-0.95128191","-1.41738612"," 2.61543575"," 2.51131499"," 1.90773123"," 1.92550872","-0.49592945","-1.16169872"," 2.64237695","-1.53522735"," 1.08126758","-2.19282487"," 0.32182680","-2.28436508"," 0.29144279","-1.44502093","-2.10799576","-0.92806978","-1.47963721","-0.62582163","-0.85198617","-0.14514499","-0.33032820"," 0.46337214"," 2.21493153","-0.89667744","-2.18549102","-1.02852802","-1.47349038"," 2.36122193"," 1.59924748"," 2.12779310","-2.34095411"," 0.23382751"," 2.37614483"," 2.61863143"," 2.08226675","-1.85308413"," 1.36610227"," 0.32182680"," 0.37618470","-1.20484608"," 0.46337214","-1.03399371","-1.57744842"," 0.64245218","-2.42330728","-0.11529854","-0.60246349","-1.65592464"," 0.90946860","-0.96180834"," 1.98594902","-2.39956003"," 1.85729386"," 1.33640155","-2.70197998","-1.75991434","-2.27343859"," 2.08676986","-0.14949983","-0.36549971"," 0.18849348","-0.09502825","-1.09086780"," 3.23146202","-2.41498363"," 3.11685168"," 2.31572307","-2.30752954","-1.75991434"," 0.52467401"," 2.31110829"," 2.60323684"," 3.60269856"," 1.25636990"," 1.00867838"," 0.76545585"," 0.85063489"," 2.80271543","-0.07300351"," 1.13680975"," 0.47430635","-1.95907619"
"w/o MS2:DGGA 39:7; DGGA 21:2-18:5; [M-H]-"," 2.2923054"," 2.0248930","-1.9327617","-0.5298378","-2.1510335","-0.5122553","-1.0439828","-0.6494682","-1.9327617","-4.2245893","-2.1297343"," 1.4941192","-0.0725391","-2.0726489","-2.9101052"," 1.8394472"," 2.6350889"," 2.1738181","-1.3481044"," 1.7626280"," 0.8163560"," 1.8394472"," 2.3249810"," 1.1514586"," 2.3826727"," 1.2789248"," 2.0712625","-1.0093057","-0.4562861","-1.1397912","-1.0041811","-2.1545515","-1.8287269","-0.1825480"," 2.2185991"," 2.0564506"," 1.6379624"," 1.4476445"," 1.7371529","-2.0100486","-0.7119003","-0.5335114"," 1.4373979"," 1.6871331"," 2.1427613","-0.6528939","-2.1336266"," 1.8394472"," 1.8536046"," 1.9253949"," 2.1270524"," 1.7626280"," 1.2174963"," 1.4013920"," 1.4273635","-0.7874989","-1.6160626","-0.6383912","-2.6253117","-0.7894554","-0.8058542"," 1.5621457","-0.9406447"," 2.2185991","-1.1617009","-0.5263639"," 2.3456408"," 2.1572317"," 2.3456408"," 2.0846535"," 2.8082589"," 2.2014971"," 0.5473585"," 0.7907164","-3.6387582","-3.1264042","-3.1468248","-3.7568360","-4.1014012","-4.0357101","-3.9825295","-3.5625325","-3.3893069"," 0.8228310","-3.5752972"," 0.9725125"," 1.2493302"," 1.2711430"," 0.9288023"," 0.6802637"," 0.5381587"," 0.7794205"," 0.8017681"," 0.4212216"
"w/o MS2:DGGA 42:8; DGGA 16:4-26:4; [M-H]-"," 1.2120825"," 1.8980301"," 0.5267474"," 0.6189327"," 0.4992971"," 0.5892268","-2.2706677"," 1.7241218","-2.3863871","-3.9065814","-1.2363697","-2.3212520"," 0.4992971"," 1.8211065"," 1.3125327"," 1.2959103","-2.5669779"," 1.0209623","-0.7728287"," 0.9265096"," 0.1491585"," 1.4950652"," 0.5984954"," 1.3052715"," 1.5042767"," 1.7088349"," 1.8616474","-1.6164010"," 0.4233126"," 1.7610714"," 1.4286341"," 0.7746783"," 0.5423923"," 1.8140812"," 1.2897856","-4.0784703"," 1.1949750"," 1.7493623"," 1.5042767"," 0.0509621","-0.3518241"," 0.6682514"," 0.9514282","-2.1050737"," 0.7314608","-0.3400908"," 0.4839550"," 1.5103897"," 1.0371821"," 1.0967288"," 1.4743119"," 1.2394522"," 1.5486324"," 1.6026067"," 1.8211065"," 0.4992971"," 0.5631696"," 0.5363793","-2.9791754","-1.2227978"," 1.7610714"," 1.0905124"," 1.3924018"," 1.6280989"," 1.6849629"," 1.2778425","-0.8753258"," 1.7791968"," 1.5486324"," 1.4224277"," 1.8140812"," 1.5486324","-1.0071306","-1.1211755","-1.5847542","-1.3374642","-1.4707628","-1.5470737","-1.6456196","-1.4307623","-1.6164010","-1.3682610","-2.0341037","-2.2636280","-2.0962653","-2.1422913","-2.2431031","-2.6459721","-3.0996356","-2.6229824","-1.7833120","-1.9991211","-1.4910690","-0.2321381"
"w/o MS2:FA 12:0; [M-H]-"," 0.91628673"," 0.77947068"," 0.73989312"," 1.13466382"," 1.10626237"," 0.87452583"," 0.68630765"," 1.03737110"," 0.96069098"," 1.92335935"," 1.46736574"," 1.79920648"," 0.71275916"," 1.13833697"," 2.16082014"," 0.60299024"," 0.97006968"," 0.78476504"," 0.67633843"," 0.79536737"," 1.65943762"," 0.53403564"," 0.11940833"," 1.02085428"," 0.66609300"," 0.84045214"," 0.63564851"," 0.89761491"," 0.93501561"," 0.78476504"," 0.29942045"," 0.75854030","-0.02462977"," 1.71339235"," 0.45451652"," 1.02085428"," 0.51084558"," 0.97980709"," 0.89037256"," 0.52203370"," 1.23854679"," 0.91628673"," 0.25237898"," 1.02887256"," 0.71275916"," 0.85480836"," 0.77557987"," 0.85244220"," 0.86826567"," 0.72116881"," 1.26784208"," 0.55665298"," 0.71696936"," 0.69227246"," 0.33738416"," 0.74572972"," 0.57898254"," 0.80546482"," 1.28535145"," 1.55785066","-0.99689152"," 0.97439857"," 0.81756368"," 0.82861314"," 0.89037256"," 0.78476504"," 1.05170655"," 1.03220157"," 1.91319684"," 0.26358909"," 0.08982749","-0.62524307","-0.79329509","-2.77819688","-3.23257442","-4.38792503","-2.95265691","-2.72693977","-2.79425537","-2.61689156","-2.97980779","-3.89331160","-3.60329828","-2.80856702","-2.70869508","-2.80856702","-3.36146633","-1.98488040","-2.19745039","-2.51937673","-2.58755250","-2.74421075","-2.28667771","-1.50844169"
"w/o MS2:FA 42:5; [M-H]-"," 0.22104784"," 0.30350358"," 1.52406108"," 0.91171250"," 0.53207878"," 0.69058436"," 0.46199766"," 0.15317030"," 0.60973083"," 2.32183026"," 1.74210400"," 2.52806592"," 0.65209527"," 1.25775711","-0.97222358"," 0.82549052"," 0.49900222","-0.42310681"," 0.90459758"," 0.62748718"," 0.79317029"," 0.02570805"," 0.49560523"," 0.83812916"," 0.27984506"," 0.46199766"," 0.35990331"," 0.99229817"," 0.38401646"," 1.59653971"," 1.04513242"," 0.65707594"," 0.46199766"," 2.32933579"," 0.42038966"," 1.09008830"," 0.46199766","-0.45564819","-0.52895661","-0.74588617","-0.18183812","-0.29468480","-0.23940577"," 1.42461135","-0.73467437","-0.39065505"," 1.16326212"," 0.62748718"," 0.17113412"," 0.22644137"," 0.79935794"," 0.31962135"," 0.49900222"," 0.73373323"," 0.23996651"," 0.74506355"," 0.02570805"," 0.16013117"," 0.52135044"," 2.25025794"," 1.71941914"," 1.03111710"," 0.77039015"," 0.73895608","-0.82909479","-1.35124826"," 0.60151016"," 0.99229817"," 0.99825143","-0.63117389"," 1.13136233"," 0.74506355","-1.42545009","-1.57356886","-2.65779466","-0.76689747","-2.18346454","-2.22227971","-2.75583950","-2.00695312","-1.83286172","-1.97643631","-4.04632339","-1.81568024","-4.32971437","-1.17266059","-0.88145777","-1.66181375","-1.31087797","-1.70212610","-1.78639985","-0.95684531","-1.94680760"," 0.69580514"
"w/o MS2:FA 44:11; [M-H]-"," 1.99727462"," 1.01307965","-1.11577063"," 2.20261164"," 0.21091206","-1.98986107"," 0.27638792","-1.64818244","-2.45178313"," 0.05463557","-1.04269967"," 0.72640267"," 0.31486370"," 0.30295496","-2.84738295","-0.21033455"," 1.56454107","-0.53490283"," 0.29736847"," 0.85890879"," 2.67469480"," 0.69102529","-0.03028522","-1.83262644","-0.19506021"," 0.06445975","-0.03028522","-0.43545785","-3.05602326","-2.74980343","-1.95072523","-2.60814499","-2.08768899","-0.71486896","-0.54533574"," 1.90183976","-0.26915108","-0.84135858","-0.97731834"," 0.66691605","-0.34081844","-0.52217731"," 0.39596802","-0.48632459"," 0.56641404","-0.39509376","-1.61165333","-0.13364149"," 0.58463780","-0.53490283"," 1.68649747","-1.27730908"," 0.40590757"," 0.12845339"," 0.80438984","-1.11010771","-0.08155529","-0.04954565","-1.00903732","-0.84135858"," 1.09365635"," 1.25279050"," 0.25886857"," 0.09157645"," 0.32117757","-0.47093250"," 1.14151095"," 0.25224786"," 2.50746626","-1.72601872"," 0.90715507","-0.59179520","-0.84824058"," 1.13698237"," 4.47920010"," 0.40094921"," 3.29738060"," 1.66244796"," 0.12845339"," 0.24364916"," 1.76590623"," 2.38706110","-0.14770243","-0.22379884"," 0.08734401"," 0.96898927","-0.80430129","-0.62492797"," 0.49854056","-0.83452009"," 0.77403031","-1.22923407","-0.57311863"," 0.58463780"
"w/o MS2:FAHFA 18:0; FAHFA 11:0/7:0; [M-H]-"," 0.20171492"," 0.16950610"," 2.21199807"," 0.20639722"," 0.89204416"," 0.96002421"," 0.81936519"," 0.38028026"," 0.51145681"," 1.39202607"," 0.08455412"," 2.17479874"," 0.36024579"," 1.03380121"," 1.77968682"," 0.92246753"," 1.25353978"," 0.55022652"," 0.18694958"," 0.10770228"," 0.52677930"," 0.31715033"," 0.36024579"," 0.48099456"," 0.92246753"," 0.31715033"," 0.35541451"," 0.67216431"," 1.02290612"," 0.81076454"," 0.23841404"," 0.53584015"," 0.92742714"," 2.59928813"," 0.49732166"," 0.74573275"," 0.71337531"," 0.77037018"," 0.21578588"," 1.03380121"," 1.27101147"," 0.71773064","-0.43112976"," 2.09683271"," 1.78957712"," 0.58652684"," 1.86106902"," 0.72949830"," 0.52130269"," 0.43886523"," 0.61534566"," 0.63824021"," 0.54188043"," 0.06412259"," 0.53584015"," 0.89779825"," 2.31392610"," 0.46570034"," 2.51330610"," 1.54236604"," 0.97646741"," 0.90393359"," 1.91766645"," 0.60403263"," 1.21163571"," 0.47511629"," 0.89779825"," 0.65534770"," 1.71656510","-0.07753296"," 0.21578588"," 0.24085653","-3.13177621","-2.11412434","-2.61343138","-3.84447262","-3.60632774","-2.82137010","-1.25789830","-1.74681565","-4.32782509","-3.41863873","-3.00682709","-1.21959175","-2.87520599","-2.81142974","-2.20459667","-2.68132728","-2.63590574","-1.58587792","-3.52431335","-3.24892619","-3.79103404","-1.24194596"
"w/o MS2:FAHFA 18:1; FAHFA 14:1/4:0; [M-H]-","-0.09994023","-0.02556505"," 2.14870146"," 0.64713461"," 0.62203418"," 0.70870592"," 0.70140665","-0.02058363"," 0.34437964"," 2.14870146"," 0.56140540"," 2.41572004"," 0.63502253"," 1.12551897"," 4.74193963"," 0.56140540"," 1.56308249","-0.55631670"," 0.63502253","-0.74206448","-0.05332989","-0.48002215","-0.28396061"," 0.29985684"," 0.67210087"," 0.04550093"," 0.23880896"," 0.23880896"," 0.42320204"," 0.55462342"," 0.13105352","-0.03641722"," 0.53740667"," 2.61049610"," 0.07167191"," 0.42320204"," 0.51803325"," 0.65539716"," 0.13105352"," 0.43627856"," 0.02782728"," 0.28098465","-1.03540657"," 1.99169309"," 1.63651952"," 0.28728389"," 1.90982498"," 0.17938302"," 0.25771454"," 0.27419008"," 0.17938302"," 0.04550093"," 0.13582905"," 0.18539999","-0.04182941"," 0.57420562"," 2.17795964"," 0.01015492"," 2.36479557"," 0.92708613"," 0.58077988"," 0.28098465"," 2.11915368","-0.30257308"," 1.99169309"," 0.05155794"," 0.65539716"," 0.15281937"," 1.14301759"," 0.01015492"," 0.13105352","-0.63978099","-2.25715801","-2.02421367","-2.46764639","-2.45718388","-2.27629051","-1.87800236"," 0.51803325","-1.51969334","-2.19141007","-2.24717231","-0.63978099","-1.77535609","-3.32178154","-3.40564343","-1.42069424","-2.26668283","-2.36380891","-2.11463357","-2.26668283","-3.18394387","-0.76908563","-1.46340213"
"w/o MS2:FAHFA 18:2; FAHFA 2:0/16:2; [M-H]-"," 0.12858434"," 0.24523987"," 2.23787853"," 1.00322674"," 0.93379658"," 0.92780459"," 1.25094472"," 0.44759230"," 0.52472109"," 2.13833244"," 0.94852892"," 2.41825488","-1.34818901"," 1.26325827"," 2.29611387"," 0.89302484"," 0.48318558"," 0.60813104"," 0.55806408"," 0.26606030"," 0.32163460"," 0.30273629"," 0.43182002"," 0.48651040"," 0.91124946"," 0.33866181"," 0.52472109"," 0.63453694"," 1.02031124"," 0.94344921"," 0.13341640"," 0.30750524"," 0.98722304"," 2.43687714"," 0.44759230"," 0.73467670"," 0.72083792"," 0.74092353"," 0.61261790"," 0.88141589"," 1.11365454"," 0.62831442","-0.08538295"," 1.79775889"," 0.66294450","-0.04857247"," 0.57244860"," 0.34785955"," 0.63716776"," 0.58839592"," 0.66756939"," 0.47494729"," 0.41292901"," 0.67320180"," 0.20557047"," 1.04540473"," 2.11383393"," 0.45354267"," 1.75554446"," 1.42798459"," 1.11365454"," 0.73467670"," 1.88752781"," 0.64257164"," 0.67320180"," 0.13818143"," 0.65283656"," 0.68712445"," 2.05559068"," 0.25095036"," 0.90278995"," 0.11877712","-3.59341589","-2.53638341","-3.28437872","-2.26676814","-2.26676814","-3.33500738","-1.96547169","-1.88896470","-2.42102080","-3.38543282","-1.95648100","-2.29564849","-2.40789279","-2.13348187","-2.36644493","-3.04039365","-3.25190934","-2.98704929","-3.05321534","-3.33500738","-2.85022718","-0.82490832"
"w/o MS2:FAHFA 19:0; FAHFA 16:0/3:0; [M-H]-"," 1.27313006"," 0.66821304","-0.11036427","-0.19405444"," 0.27248526"," 0.27248526"," 0.76226489"," 0.17183722"," 1.02729497"," 0.81869667"," 0.40466590"," 1.14548204"," 0.97258779"," 0.66821304"," 0.76226489","-0.11036427"," 0.57240073"," 0.34236751"," 0.62494671"," 0.40466590"," 0.92018490"," 0.40466590"," 0.48233821"," 0.40466590"," 0.71122364"," 0.34236751"," 0.40466590"," 0.71122364"," 0.40466590"," 0.09823839"," 0.34236751"," 0.37753849","-0.14000809"," 0.81869667","-0.05175769"," 0.62494671"," 0.17183722"," 0.34236751"," 0.09823839","-0.05175769"," 0.81869667"," 0.37753849"," 0.40466590"," 0.57240073","-0.02757371"," 0.48233821"," 0.66821304"," 0.48233821"," 0.52171220"," 0.71122364"," 1.45439257"," 1.33607905"," 0.57240073"," 0.66821304"," 1.08101356","-0.08305739"," 0.57240073"," 0.13946334"," 0.40466590"," 0.92018490"," 1.39136978"," 0.62494671"," 0.40466590"," 0.66821304"," 0.81869667"," 0.20388010"," 0.86643232"," 0.71122364"," 1.52085379"," 0.37753849"," 0.44898100"," 0.23349875","-2.90404271","-1.92608951","-1.62514192","-1.85641203","-1.77007382","-1.93909922","-1.35250187","-1.35250187","-2.49308091","-1.37195923","-1.40814223","-1.82611383","-1.14951572","-1.65360189","-1.01766175","-1.13076913","-1.69942195","-2.42272370","-1.91137736","-2.39075762","-2.24959011","-1.06295946"
"w/o MS2:FAHFA 19:1; FAHFA 16:1/3:0; [M-H]-"," 0.8582758"," 0.7404205"," 0.4379153"," 0.2044584"," 0.6953221"," 0.3515327"," 0.7775544"," 0.5513613"," 0.5893954"," 0.8582758"," 0.6953221"," 1.1318465"," 1.1871775"," 0.7404205"," 0.6518180"," 0.2589473"," 0.5513613"," 0.3790339"," 0.6518180"," 0.3237473"," 0.7775544"," 0.5893954"," 0.3515327"," 0.8144689"," 1.1318465"," 0.4625261"," 0.6180247"," 0.7404205"," 0.6518180"," 0.5893954"," 0.4044546"," 0.4978928"," 0.4044546"," 0.8144689"," 0.1327657"," 0.4625261"," 0.2044584"," 0.6180247"," 0.6180247"," 0.9067092"," 0.9938130"," 0.4978928"," 0.2883654"," 0.7404205"," 0.3237473"," 0.7404205"," 0.5513613"," 0.5280788"," 0.9476790"," 0.9938130"," 0.9938130"," 0.9938130"," 0.6180247"," 1.0857417"," 0.9476790"," 0.4044546"," 0.5893954"," 0.1596291"," 0.6518180"," 0.7775544"," 1.0387885"," 0.9476790"," 0.4379153"," 0.6518180"," 0.5280788"," 0.4625261"," 0.6953221"," 0.7404205"," 1.5611603"," 0.5893954"," 0.8144689"," 0.1327657","-3.1072646","-2.3978405","-2.1761790","-2.4746054","-1.7649462","-2.1431123","-1.4168320","-1.6073124","-2.4594782","-1.7770369","-1.8657151","-1.9835703","-1.7860206","-2.0723135","-1.9151566","-1.9835703","-1.7770369","-3.1430840","-2.1657278","-3.1969918","-2.3744437","-1.2663812"
"w/o MS2:FAHFA 19:1; FAHFA 3:0/16:1; [M-H]-"," 0.82086549"," 0.41532323"," 0.56826496"," 0.86611434"," 0.99604701","-0.49446594"," 0.74839026","-0.58874930"," 0.66887480"," 1.79782360"," 1.57737511"," 1.79782360","-0.18068256"," 1.59192728"," 5.16927985"," 0.74839026"," 0.68186612"," 0.43860006"," 1.20727528","-0.97133342"," 0.01065857","-0.56852337","-0.84329766"," 1.25345739"," 0.93163311"," 0.72770020"," 1.21197961"," 1.19329825"," 0.97984451"," 1.38637156"," 0.11478703"," 0.80818691"," 1.01652323"," 2.29140511"," 0.44989614"," 0.38639459"," 0.22933436"," 0.88355828"," 0.73948560"," 1.14915704"," 1.47320295"," 0.33568849"," 0.42783876"," 0.84530518"," 0.76636022","-0.11939692"," 1.36722802"," 0.73700217"," 1.09326219"," 0.83939129"," 1.02487811"," 0.88355828"," 0.76636022"," 0.69231356"," 0.69231356"," 1.01652323"," 0.89449534"," 0.15012876"," 0.91515256"," 1.85865821"," 1.74673030"," 1.10497019"," 1.00616025"," 1.04352718"," 0.63723971","-2.04846132","-0.06266957"," 0.15805168"," 1.98797540"," 0.30559664"," 1.22556647"," 0.83007636","-2.33959684","-1.88858471","-2.94588164","-3.55853299","-2.92956479","-2.99264963","-2.39131338","-3.14196865","-3.46189104","-2.17235550","-3.41960076","-2.12507820","-2.00800252","-1.43513063","-2.53862725","-2.92175502","-2.69412293","-2.23726081","-2.90715276","-2.69412293","-1.80503629","-2.19765873"
"w/o MS2:FAHFA 19:2; FAHFA 3:0/16:2; [M-H]-"," 0.3625546"," 0.6803519"," 1.0265282"," 1.6212066"," 1.4412965"," 1.6476258"," 1.4578440"," 0.7613088"," 1.0723420","-1.9511346"," 1.6531305"," 1.4686624","-1.7159721"," 1.9579501"," 5.6347686","-0.9263578","-0.6142662","-0.4935298"," 1.3295311","-0.9611296"," 0.5669855"," 0.8072910","-0.3907261"," 1.7917413"," 0.7121108"," 1.0209318"," 0.9356328","-0.5316422","-1.0399874"," 0.9300227"," 0.6803519"," 0.7223570","-0.6972014"," 1.8048836","-1.2044055"," 1.2115528"," 0.4257099"," 1.5951651","-0.1269438"," 0.4061082"," 1.7195842","-0.4655269","-1.2308318"," 1.6048104"," 0.6092046"," 1.2315673","-0.4894371","-0.2130767"," 1.0502534"," 0.8699925"," 1.1451943"," 1.0904369","-0.2823177"," 1.0990303","-0.5195034"," 0.7833318"," 1.3590644"," 0.7651737"," 1.4112699"," 2.3138277"," 0.5498309"," 1.5041791"," 1.0335391"," 0.6172216"," 0.7256970"," 0.2139960"," 0.8830713"," 1.1609526"," 2.5807582","-0.7918443"," 1.4251044"," 0.8072910","-1.6057123","-1.9863732","-2.1567550","-3.3189899","-2.7348683","-2.7624146","-2.4792631","-2.7624146","-2.9980359","-3.4244228","-2.2844236","-1.9775095","-3.1153838","-1.4685070","-2.2936141","-2.4792631","-0.9541635","-2.3829358","-1.3619381","-2.5221409","-1.2256440","-1.3397207"
