"id" "Label" "mouseID" "treatmentID" "Exercise" "Weight" "metabolite" "area"
"160711-37" "plasmaD21" "15-02-M13" "SED_ER" "SED" "ER" "Pyruvate" 0.893182628898501
"160711-38" "plasmaD35" "15-02-M15" "EX_AL" "EX" "AL" "Pyruvate" 0.790565934897941
"160711-39" "plasmaD21" "15-02-M4" "SED_AL" "SED" "AL" "Pyruvate" 0.996985550403562
"160711-40" "plasmaD7" "15-02-M4" "SED_AL" "SED" "AL" "Pyruvate" 0.996985550403562
"160711-41" "plasmaD35" "15-02-M7" "SED_ER" "SED" "ER" "Pyruvate" 0.614029060369011
"160711-42" "plasmaD35" "15-02-M25" "EX_ER" "EX" "ER" "Pyruvate" 0.427567170342082
"160711-43" "plasmaD21" "15-02-M25" "EX_ER" "EX" "ER" "Pyruvate" 0.790565934897941
"160711-44" "plasmaD7" "15-02-M5" "SED_AL" "SED" "AL" "Pyruvate" 0.893182628898501
"160711-45" "tumor" "15-02-M24" "EX_ER" "EX" "ER" "Pyruvate" -2.33242995384393
"160711-46" "tumor" "15-02-M7" "SED_ER" "SED" "ER" "Pyruvate" -1.7997285194078
"160711-47" "plasmaD35" "15-02-M8" "SED_ER" "SED" "ER" "Pyruvate" 0.893182628898501
"160711-48" "tumor" "15-02-M6" "SED_AL" "SED" "AL" "Pyruvate" -1.27674872829878
"160711-49" "plasmaD21" "15-02-M16" "EX_AL" "EX" "AL" "Pyruvate" 0.614029060369011
"160711-50" "tumor" "15-02-M21" "EX_ER" "EX" "ER" "Pyruvate" -2.33242995384393
"160711-51" "plasmaD7" "15-02-M7" "SED_ER" "SED" "ER" "Pyruvate" 0.893182628898501
"160711-52" "plasmaD21" "15-02-M26" "EX_ER" "EX" "ER" "Pyruvate" 0.704437477481081
"160711-53" "plasmaD7" "15-02-M27" "EX_ER" "EX" "ER" "Pyruvate" 0.528136417887789
"160711-54" "plasmaD7" "15-02-M23" "EX_ER" "EX" "ER" "Pyruvate" 0.354327891377439
"160711-55" "tumor" "15-02-M3" "SED_AL" "SED" "AL" "Pyruvate" -2.23464098900444
"160711-56" "plasmaD35" "15-02-M4" "SED_AL" "SED" "AL" "Pyruvate" 0.893182628898501
"160711-57" "plasmaD7" "15-02-M8" "SED_ER" "SED" "ER" "Pyruvate" 0.893182628898501
"160711-58" "plasmaD21" "15-02-M3" "SED_AL" "SED" "AL" "Pyruvate" 0.790565934897941
"160711-59" "plasmaD35" "15-02-M6" "SED_AL" "SED" "AL" "Pyruvate" -0.286006325022537
"160711-62" "plasmaD7" "15-02-M18" "EX_AL" "EX" "AL" "Pyruvate" 1.31828208101775
"160711-63" "plasmaD7" "15-02-M25" "EX_ER" "EX" "ER" "Pyruvate" 0.996985550403562
"160711-64" "plasmaD35" "15-02-M2" "SED_AL" "SED" "AL" "Pyruvate" 0.790565934897941
"160711-65" "plasmaD7" "15-02-M16" "EX_AL" "EX" "AL" "Pyruvate" 0.427567170342082
"160711-66" "plasmaD35" "15-02-M16" "EX_AL" "EX" "AL" "Pyruvate" 0.614029060369011
"160711-67" "plasmaD21" "15-02-M10" "SED_ER" "SED" "ER" "Pyruvate" 1.10715158770592
"160711-68" "plasmaD21" "15-02-M6" "SED_AL" "SED" "AL" "Pyruvate" 0.893182628898501
"160711-69" "plasmaD35" "15-02-M12" "SED_ER" "SED" "ER" "Pyruvate" 1.2200092574379
"160711-70" "plasmaD35" "15-02-M18" "EX_AL" "EX" "AL" "Pyruvate" 0.893182628898501
