"tissue.type"	"metabolite"	"Exercise"	"Weight"	"mean"	"sd"
"plasma"	"GMP"	"SED"	"AL"	-0.43413009934131	1.11727073964196
"plasma"	"GMP"	"SED"	"ER"	-0.251588337044935	1.20960242855556
"plasma"	"Histidine"	"EX"	"AL"	-0.260646727215446	0.860231401642555
"plasma"	"Histidine"	"EX"	"ER"	-0.299709744632317	0.535476035842347
"plasma"	"Histidine"	"SED"	"AL"	-0.0871963775172701	0.484484590531951
"plasma"	"Histidine"	"SED"	"ER"	-0.276147267719094	1.00442527003843
"plasma"	"Homocysteine-Methylcysteine"	"EX"	"AL"	0.683047469798325	0.490451239936822
"plasma"	"Homocysteine-Methylcysteine"	"EX"	"ER"	0.459988481226122	0.702424200625724
"plasma"	"Homocysteine-Methylcysteine"	"SED"	"AL"	0.665452558018183	0.540610460721897
"plasma"	"Homocysteine-Methylcysteine"	"SED"	"ER"	0.593557825780206	0.709683267465861
"plasma"	"Hydroxyisocaproic-acid"	"EX"	"AL"	0.478027410714026	0.338438767347475
"plasma"	"Hydroxyisocaproic-acid"	"EX"	"ER"	0.598124713290879	0.486511969659151
"plasma"	"Hydroxyisocaproic-acid"	"SED"	"AL"	0.447509091243794	0.440401002998284
"plasma"	"Hydroxyisocaproic-acid"	"SED"	"ER"	0.3631676761261	0.674486345175816
"plasma"	"Hydroxyphenylacetic-acid"	"EX"	"AL"	0.42884843682107	0.928559166719381
"plasma"	"Hydroxyphenylacetic-acid"	"EX"	"ER"	0.530926708503224	1.05895155067829
"plasma"	"Hydroxyphenylacetic-acid"	"SED"	"AL"	0.337034318887602	0.607300156513867
"plasma"	"Hydroxyphenylacetic-acid"	"SED"	"ER"	0.19030829261491	0.440869982913329
"plasma"	"Hydroxyphenylpyruvate"	"EX"	"AL"	0.754080514630219	0.605502656372667
"plasma"	"Hydroxyphenylpyruvate"	"EX"	"ER"	0.805571597635103	0.610455827198367
"plasma"	"Hydroxyphenylpyruvate"	"SED"	"AL"	0.931215367187669	0.45393393774386
"plasma"	"Hydroxyphenylpyruvate"	"SED"	"ER"	0.644775387091157	1.10261766460671
"plasma"	"Hydroxyproline-Aminolevulinate"	"EX"	"AL"	0.355957926319293	0.613897787946043
"plasma"	"Hydroxyproline-Aminolevulinate"	"EX"	"ER"	-0.334851868588986	0.746983416184436
"plasma"	"Hydroxyproline-Aminolevulinate"	"SED"	"AL"	0.535590257112164	0.598277557969418
"plasma"	"Hydroxyproline-Aminolevulinate"	"SED"	"ER"	0.0698253573416606	0.973483867907299
"plasma"	"IMP"	"EX"	"AL"	-0.206039946992161	0.715300987940101
"plasma"	"IMP"	"EX"	"ER"	0.014219816646617	0.819716395339769
"plasma"	"IMP"	"SED"	"AL"	0.328015744417682	1.58855082719391
"plasma"	"IMP"	"SED"	"ER"	-0.372847407208	0.622753093768183
"plasma"	"Indole-3-carboxylic-acid"	"EX"	"AL"	0.751876897169457	0.360542176625235
"plasma"	"Indole-3-carboxylic-acid"	"EX"	"ER"	0.572400900749563	0.803023884383023
"plasma"	"Indole-3-carboxylic-acid"	"SED"	"AL"	0.856225277571043	0.224814708963073
"plasma"	"Indole-3-carboxylic-acid"	"SED"	"ER"	0.725220532681119	1.05603136594958
"plasma"	"Inosine"	"EX"	"AL"	1.02316748524227	0.767650266738344
"plasma"	"Inosine"	"EX"	"ER"	0.834859757339307	0.520910981122809
"plasma"	"Inosine"	"SED"	"AL"	0.748536396558245	0.406315392284943
"plasma"	"Inosine"	"SED"	"ER"	0.495907662014418	0.975490369341813
"plasma"	"Ketoleucine"	"EX"	"AL"	0.299446875966336	0.749640599651008
"plasma"	"Ketoleucine"	"EX"	"ER"	0.479073217333025	1.10732581709719
"plasma"	"Ketoleucine"	"SED"	"AL"	0.423748316378989	0.799097859878103
"plasma"	"Ketoleucine"	"SED"	"ER"	0.177138980652521	0.346187356333878
"plasma"	"Kynurenic-acid"	"EX"	"AL"	0.771457897028603	0.355249215190189
"plasma"	"Kynurenic-acid"	"EX"	"ER"	0.807489559187528	0.525670007044813
"plasma"	"Kynurenic-acid"	"SED"	"AL"	0.655549982882121	0.340348782377128
"plasma"	"Kynurenic-acid"	"SED"	"ER"	0.777674259683465	1.12987520836976
"plasma"	"Lactate"	"EX"	"AL"	-0.121124465794003	0.910363612361816
"plasma"	"Lactate"	"EX"	"ER"	-0.00694485115559115	0.602878539474227
"plasma"	"Lactate"	"SED"	"AL"	0.131364971412701	0
"plasma"	"Lactate"	"SED"	"ER"	0.131364971412701	0
"plasma"	"Leu-Asp--LD-"	"EX"	"AL"	0.131993406340627	1.25703428335703
"plasma"	"Leu-Asp--LD-"	"EX"	"ER"	0.061532896788683	0.763034828745
"plasma"	"Leu-Asp--LD-"	"SED"	"AL"	-0.218603015830658	0.581988101705121
"plasma"	"Leu-Asp--LD-"	"SED"	"ER"	-0.084603633228343	0.992153597697709
"plasma"	"Leucine-Isoleucine"	"EX"	"AL"	-0.179991527721045	1.22850995811704
"plasma"	"Leucine-Isoleucine"	"EX"	"ER"	-0.297818821013854	0.742760725254006
"plasma"	"Leucine-Isoleucine"	"SED"	"AL"	-0.00784514975133302	0.452759673406823
"plasma"	"Leucine-Isoleucine"	"SED"	"ER"	-0.137547332475744	0.29136055510307
"plasma"	"Lysine"	"EX"	"AL"	0.515704559672488	0.746501702406596
"plasma"	"Lysine"	"EX"	"ER"	-0.320091616288964	0.576173204657155
"plasma"	"Lysine"	"SED"	"AL"	0.0683807818816779	0.571550406950334
"plasma"	"Lysine"	"SED"	"ER"	0.134454146026102	0.621083505826028
"plasma"	"Malate"	"EX"	"AL"	-0.637021662007792	1.47819085604377
"plasma"	"Malate"	"EX"	"ER"	0.150086449171566	0.419028422991534
"plasma"	"Malate"	"SED"	"AL"	-0.865344080483006	1.69781243427393
"plasma"	"Malate"	"SED"	"ER"	-0.513331980752862	1.89259869660881
"plasma"	"Maleic-acid"	"EX"	"AL"	-0.737076461633316	0.958164776849891
"plasma"	"Maleic-acid"	"EX"	"ER"	-0.0555199041686412	1.02356815271985
"plasma"	"Maleic-acid"	"SED"	"AL"	-0.685479979976272	1.00642262401723
"plasma"	"Maleic-acid"	"SED"	"ER"	-0.535808481343883	1.53627031724497
"plasma"	"Methionine"	"EX"	"AL"	0.157588560376778	1.13456853342014
"plasma"	"Methionine"	"EX"	"ER"	-0.309232441747586	0.674606002962304
"plasma"	"Methionine"	"SED"	"AL"	0.181686327448352	0.680651284223058
"plasma"	"Methionine"	"SED"	"ER"	-0.0440433487009018	0.542295470560434
"plasma"	"N-Acetyl-glucosamine-1-6-phosphate"	"EX"	"AL"	-0.740113824692203	0.985990427738036
"plasma"	"N-Acetyl-glucosamine-1-6-phosphate"	"EX"	"ER"	-0.62354475828102	0.829121605624786
"plasma"	"N-Acetyl-glucosamine-1-6-phosphate"	"SED"	"AL"	-0.468006944467122	0.631176171481532
"plasma"	"N-Acetyl-glucosamine-1-6-phosphate"	"SED"	"ER"	-0.218085383956087	0.832053440288689
"plasma"	"N-Acetyl-glutamate"	"EX"	"AL"	-0.0717597428710112	0.501835973259625
"plasma"	"N-Acetyl-glutamate"	"EX"	"ER"	0.17578612402558	0.760193504142671
"plasma"	"N-Acetyl-glutamate"	"SED"	"AL"	-0.154598651373311	0.382171274430126
"plasma"	"N-Acetyl-glutamate"	"SED"	"ER"	-0.0970082928598227	0.480393218657054
"plasma"	"N-Acetyl-glutamine"	"EX"	"AL"	1.20745721656269	1.10033804857198
"plasma"	"N-Acetyl-glutamine"	"EX"	"ER"	0.857925147721035	0.426484629641234
"plasma"	"N-Acetyl-glutamine"	"SED"	"AL"	0.941224517920656	0.40969764591521
"plasma"	"N-Acetyl-glutamine"	"SED"	"ER"	0.545490960516679	1.16078614835007
"plasma"	"N-Acetyl-L-alanine"	"EX"	"AL"	-0.600750285032582	0.307335023106053
"plasma"	"N-Acetyl-L-alanine"	"EX"	"ER"	-0.684625760948528	0.386981067980018
"plasma"	"N-Acetyl-L-alanine"	"SED"	"AL"	-0.575053194809464	0.28599571250826
"plasma"	"N-Acetyl-L-alanine"	"SED"	"ER"	-0.455405564415214	0.868774191976364
"plasma"	"N-Acetyl-L-ornithine"	"EX"	"AL"	0.696089814497752	0.753674960454638
"plasma"	"N-Acetyl-L-ornithine"	"EX"	"ER"	0.784169599589058	0.637483143195742
"plasma"	"N-Acetyl-L-ornithine"	"SED"	"AL"	0.865757714759166	0.271088738447696
"plasma"	"N-Acetyl-L-ornithine"	"SED"	"ER"	0.395866539199303	0.798312029630047
"plasma"	"N-Carbamoyl-L-aspartate"	"EX"	"AL"	-0.745651659817854	0.617023932163963
"plasma"	"N-Carbamoyl-L-aspartate"	"EX"	"ER"	-0.546798993473506	0.657347762166103
"plasma"	"N-Carbamoyl-L-aspartate"	"SED"	"AL"	-0.71812790487439	0.677305279267555
"plasma"	"N-Carbamoyl-L-aspartate"	"SED"	"ER"	-0.427229604278501	0.92016666515568
"plasma"	"Nicotinate"	"EX"	"AL"	-0.401353356553965	0.790728100146563
"plasma"	"Nicotinate"	"EX"	"ER"	-0.128460355516097	1.01667622467181
"plasma"	"Nicotinate"	"SED"	"AL"	-0.0335305456608066	0.630211554003571
"plasma"	"Nicotinate"	"SED"	"ER"	-0.0181981129369303	0.795323594443405
"plasma"	"Octoluse-bisphosphate"	"EX"	"AL"	-0.535179050373978	0.331105707185927
"plasma"	"Octoluse-bisphosphate"	"EX"	"ER"	-0.579001793651317	0.452149049637774
"plasma"	"Octoluse-bisphosphate"	"SED"	"AL"	-0.437082637342643	0.824666714464778
"plasma"	"Octoluse-bisphosphate"	"SED"	"ER"	-0.31002688483832	0.899710375891639
"plasma"	"Ornithine"	"EX"	"AL"	-0.16716750534124	0.839176400930028
"plasma"	"Ornithine"	"EX"	"ER"	-0.257747994337897	0.873293142638268
"plasma"	"Ornithine"	"SED"	"AL"	-0.021546450837292	0.764489905614646
